year,column,rows,missing_count,missing_rate,flag_missing_rate
2011,positive_degree_day_Cday,30,1,0.03333333333333333,False
2011,snow_cover_fraction,30,6,0.2,False
2011,snow_depletion_rate_7d,30,7,0.23333333333333334,False
2011,surface_runoff_m,30,1,0.03333333333333333,False
2011,sin_doy,30,0,0.0,False
2011,cos_doy,30,0,0.0,False
2012,Q_m3s,23,0,0.0,False
2012,temperature_2m_C,23,2,0.08695652173913043,False
2012,positive_degree_day_Cday,23,2,0.08695652173913043,False
2012,snow_cover_fraction,23,9,0.391304347826087,False
2012,snow_depletion_rate_7d,23,10,0.43478260869565216,False
2012,surface_runoff_m,23,2,0.08695652173913043,False
2012,sin_doy,23,0,0.0,False
2012,cos_doy,23,0,0.0,False
2013,Q_m3s,33,0,0.0,False
2013,temperature_2m_C,33,3,0.09090909090909091,False
2013,positive_degree_day_Cday,33,3,0.09090909090909091,False
2013,snow_cover_fraction,33,13,0.3939393939393939,False
2013,snow_depletion_rate_7d,33,16,0.48484848484848486,False
2013,surface_runoff_m,33,3,0.09090909090909091,False
2013,sin_doy,33,0,0.0,False
2013,cos_doy,33,0,0.0,False
2014,Q_m3s,35,0,0.0,False
2014,temperature_2m_C,35,4,0.11428571428571428,False
2014,positive_degree_day_Cday,35,4,0.11428571428571428,False
2014,snow_cover_fraction,35,13,0.37142857142857144,False
2014,snow_depletion_rate_7d,35,17,0.4857142857142857,False
2014,surface_runoff_m,35,4,0.11428571428571428,False
2014,sin_doy,35,0,0.0,False
2014,cos_doy,35,0,0.0,False
2015,Q_m3s,36,0,0.0,False
2015,temperature_2m_C,36,3,0.08333333333333333,False
2015,positive_degree_day_Cday,36,3,0.08333333333333333,False
2015,snow_cover_fraction,36,15,0.4166666666666667,False
2015,snow_depletion_rate_7d,36,19,0.5277777777777778,True
2015,surface_runoff_m,36,3,0.08333333333333333,False
2015,sin_doy,36,0,0.0,False
2015,cos_doy,36,0,0.0,False
2016,Q_m3s,37,0,0.0,False
2016,temperature_2m_C,37,3,0.08108108108108109,False
2016,positive_degree_day_Cday,37,3,0.08108108108108109,False
2016,snow_cover_fraction,37,14,0.3783783783783784,False
2016,snow_depletion_rate_7d,37,16,0.43243243243243246,False
2016,surface_runoff_m,37,3,0.08108108108108109,False
2016,sin_doy,37,0,0.0,False
2016,cos_doy,37,0,0.0,False
2017,Q_m3s,35,0,0.0,False
2017,temperature_2m_C,35,3,0.08571428571428572,False
2017,positive_degree_day_Cday,35,3,0.08571428571428572,False
2017,snow_cover_fraction,35,12,0.34285714285714286,False
2017,snow_depletion_rate_7d,35,19,0.5428571428571428,True
2017,surface_runoff_m,35,3,0.08571428571428572,False
2017,sin_doy,35,0,0.0,False
2017,cos_doy,35,0,0.0,False
2018,Q_m3s,35,0,0.0,False
2018,temperature_2m_C,35,3,0.08571428571428572,False
2018,positive_degree_day_Cday,35,3,0.08571428571428572,False
2018,snow_cover_fraction,35,12,0.34285714285714286,False
2018,snow_depletion_rate_7d,35,17,0.4857142857142857,False
2018,surface_runoff_m,35,3,0.08571428571428572,False
2018,sin_doy,35,0,0.0,False
2018,cos_doy,35,0,0.0,False
2019,Q_m3s,26,0,0.0,False
2019,temperature_2m_C,26,2,0.07692307692307693,False
2019,positive_degree_day_Cday,26,2,0.07692307692307693,False
2019,snow_cover_fraction,26,4,0.15384615384615385,False
2019,snow_depletion_rate_7d,26,11,0.4230769230769231,False
2019,surface_runoff_m,26,2,0.07692307692307693,False
2019,sin_doy,26,0,0.0,False
2019,cos_doy,26,0,0.0,False
2020,Q_m3s,31,0,0.0,False
2020,temperature_2m_C,31,2,0.06451612903225806,False
2020,positive_degree_day_Cday,31,2,0.06451612903225806,False
2020,snow_cover_fraction,31,8,0.25806451612903225,False
2020,snow_depletion_rate_7d,31,13,0.41935483870967744,False
2020,surface_runoff_m,31,2,0.06451612903225806,False
2020,sin_doy,31,0,0.0,False
2020,cos_doy,31,0,0.0,False
2021,Q_m3s,37,0,0.0,False
2021,temperature_2m_C,37,3,0.08108108108108109,False
2021,positive_degree_day_Cday,37,3,0.08108108108108109,False
2021,snow_cover_fraction,37,18,0.4864864864864865,False
2021,snow_depletion_rate_7d,37,20,0.5405405405405406,True
2021,surface_runoff_m,37,3,0.08108108108108109,False
2021,sin_doy,37,0,0.0,False
2021,cos_doy,37,0,0.0,False
2022,Q_m3s,10,0,0.0,False
2022,temperature_2m_C,10,0,0.0,False
2022,positive_degree_day_Cday,10,0,0.0,False
2022,snow_cover_fraction,10,3,0.3,False
2022,snow_depletion_rate_7d,10,5,0.5,False
2022,surface_runoff_m,10,0,0.0,False
2022,sin_doy,10,0,0.0,False
2022,cos_doy,10,0,0.0,False
2023,Q_m3s,12,0,0.0,False
2023,temperature_2m_C,12,0,0.0,False
2023,positive_degree_day_Cday,12,0,0.0,False
2023,snow_cover_fraction,12,3,0.25,False
2023,snow_depletion_rate_7d,12,6,0.5,False
2023,surface_runoff_m,12,0,0.0,False
2023,sin_doy,12,0,0.0,False
2023,cos_doy,12,0,0.0,False
2024,Q_m3s,6,0,0.0,False
2024,temperature_2m_C,6,0,0.0,False
2024,positive_degree_day_Cday,6,0,0.0,False
2024,snow_cover_fraction,6,3,0.5,False
2024,snow_depletion_rate_7d,6,4,0.6666666666666666,True
2024,surface_runoff_m,6,0,0.0,False
2024,sin_doy,6,0,0.0,False
2024,cos_doy,6,0,0.0,False
