scope,flag_type,river,year,date,flux_id,value,threshold,notes
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-04,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-04,18654259.541968327,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-05,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-05,16988117.432960544,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-06,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-06,15575715.433371322,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-07,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-07,14407061.940010129,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-08,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-08,12523888.250857238,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-09,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-09,11414200.892778723,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-10,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-10,10329362.682254827,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-11,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-11,9468345.66662619,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-12,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-12,8529117.530905746,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-13,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-13,7803803.457458842,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-14,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-14,7197899.535167742,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-15,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-15,6641896.346816609,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-16,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-16,6224575.976081752,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-17,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-17,5744072.569781307,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-18,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-18,5510706.451392738,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-19,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-19,5315661.299042574,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-20,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-20,5278721.095040779,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-21,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-21,5104711.851284609,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-22,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-22,5001036.94068515,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-23,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-23,4873281.4895598795,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-24,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-24,4688770.252417208,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-25,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-25,4548282.995058022,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-26,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-26,4426080.203286367,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-27,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-27,4329822.706294207,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-28,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-28,4275027.290741074,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-29,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-29,4293034.610740042,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-30,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-30,4343039.957998939,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-01,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-01,4336884.079439663,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-02,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-02,4346791.684970523,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-03,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-03,4238080.66174741,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-04,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-04,3943941.6876194463,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-05,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-05,3557599.325465346,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-06,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-06,3300741.3965493827,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-07,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-07,3568171.807963572,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-08,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-08,3716559.0676834504,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-09,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-09,3850059.130784465,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-10,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-10,3938172.5753737013,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-11,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-11,4155696.2156515974,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-12,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-12,4397275.723811309,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-13,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-13,4347473.705346664,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-14,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-14,4139179.3709597313,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-15,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-15,3837874.8882029187,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-16,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-16,3565224.96923781,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-17,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-17,3284388.345144289,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-18,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-18,3003362.456845719,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-19,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-19,2791282.585875838,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-20,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-20,2597532.3722516173,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-21,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-21,2394970.220752954,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-22,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-22,2165143.05680135,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-23,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-23,2036709.3670408747,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-24,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-24,2183267.302347759,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-25,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-25,2106512.832957896,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-26,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-26,1999675.504137915,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-07-27,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-07-27,1876408.018994194,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-14,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-14,1843617.7312108672,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-15,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-15,2159211.8488956457,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-16,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-16,2491522.049943793,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-17,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-17,2691396.57386052,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-18,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-18,2784214.125001103,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-19,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-19,2813107.4959489466,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-20,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-20,2914235.3468531664,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-21,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-21,3062705.483536649,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-22,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-22,3219867.1881214683,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-23,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-23,3359006.7764990428,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-24,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-24,3391790.822136909,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-25,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-25,3371346.6996604046,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-26,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-26,3338119.0378148914,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-27,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-27,3305576.029559348,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-28,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-28,3374381.9365621815,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-29,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-29,3682580.143791707,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-30,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-30,4039069.596020775,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-08-31,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-08-31,4275377.510412979,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-01,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-01,4379699.148480752,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-02,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-02,4385416.540605834,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-03,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-03,4370491.245539808,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-04,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-04,4399087.321307126,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-05,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-05,4385595.092728936,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-06,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-06,4272982.848491983,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-07,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-07,4048418.739778609,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-08,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-08,3729191.9376849583,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-09,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-09,3320183.167757623,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-10,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-10,3000447.6051312345,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-11,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-11,2818025.079054662,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-12,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-12,2541135.4288882767,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-09-13,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-09-13,2114166.8716841377,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-19,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-19,2552014.1832399108,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-20,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-20,3412679.359506716,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-21,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-21,4586148.694114195,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-22,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-22,6648116.290580771,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-23,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-23,9036563.461534347,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-24,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-24,11059707.901486611,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-25,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-25,13728401.046450317,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-26,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-26,17796713.775074292,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-27,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-27,28051352.72462341,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-28,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-28,24960528.405659694,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-29,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-29,22624789.414545238,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-30,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-30,21379103.485047925,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-05-31,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-05-31,21391851.95320738,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-01,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-01,21095296.847845014,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-02,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-02,20500449.721476234,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-03,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-03,19563904.909539193,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-04,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-04,18484666.13929724,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-05,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-05,17226194.31167911,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-06,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-06,16491712.824852373,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-07,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-07,15622685.150823155,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-08,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-08,14197634.504836837,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-09,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-09,12672875.347007627,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-10,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-10,10509266.365867388,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-11,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-11,8799916.130348617,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-12,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-12,8177319.82768701,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-13,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-13,7715782.819183514,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2001,2001-06-14,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2001-06-14,7566316.4826570805,1799283.6853553497,Threshold is five times the river median daily flux.
